title_id,title,year,runtime,genres,dir_list,cast_list,rating
tt7608868,"150 Years: Canada Yesterday, Today, Tomorrow",(2017),60 min,"
Adventure, History            ","['Directors:', 'Ken Fast,', 'Eric B. Spoeth']","['Stars:', 'Dixie Coleman,', 'Kamryn Coleman,', 'Mathieu Malo,', 'Udo Mueller']",
tt2380942,1500 Steps,(2014),88 min,"
Drama            ","['Director:', 'Josh Reid']","['Stars:', 'Alex Fechine,', 'Laura Jane Benson,', 'Jack Matthews,', 'Lianne Mackessy']",5.4
tt2183036,151 Kent Ave,(2012),60 min,"
Thriller            ","['Stars:', 'Joshua Jan Lefers,', 'Cameron Nugent,', 'Sarah Roberts']",[],
tt1999067,15: Inside the Mind of a Serial Killer,(2011),116 min,"
Horror, Thriller            ","['Director:', 'Jason Hawkins']","['Stars:', 'Natasha Timpani,', 'Bob Olin,', 'Dara Davey,', 'Jason Hawkins']",4.4
tt1512689,15Malaysia,(2009),80 min,"
Animation, Comedy, Drama            ","['Directors:', 'Khairil M. Bahar,', 'Johan John,', 'Kamal Sabran,', 'Mussadique Suleiman,', 'Yasmin Ahmad,', 'Linus Chung,', 'Yuhang Ho,', 'James Lee,', 'Seng Tat Liew,', 'Benji Lim,', 'Amir Muhammad,', 'Namron,', 'Desmond Ng,', 'Jordan Suleiman,', 'Chui Mui Tan,', 'Ming Jin Woo,', 'Bahir Yeusuff']","['Stars:', 'Yasmin Ahmad,', 'Sharifah Amani,', 'Varma a/l Arasu,', 'Tian Chua']",6.9
tt0224552,15th Anniversary,(1989),58 min,,"['Director:', 'Sidonie Kerr']","['Star:', 'Kathleen Shannon']",
tt11131480,16 Bars,(2020),,"
Action            ","['Director:', 'Tamir x Singleton']","['Stars:', 'Gbenga Akinnagbe,', 'Bre-Z,', 'Corey Champagne,', 'Mykey Cooper']",7.5
tt0450232,16 Blocks,(2006),102 min,"
Action, Drama, Thriller            ","['Director:', 'Richard Donner']","['Stars:', 'Bruce Willis,', 'Yasiin Bey,', 'David Morse,', 'Jenna Stern']",6.6
tt0040797,16 Fathoms Deep,(1948),82 min,"
Adventure, Crime, Drama            ","['Director:', 'Irving Allen']","['Stars:', 'Lloyd Bridges,', 'Lon Chaney Jr.,', 'Arthur Lake,', 'Eric Feldary']",6
tt1572763,16 Heads and Counting,(2008),98 min,"
Comedy, Drama, Horror            ","['Director:', 'Andrew Gingerich']","['Stars:', 'David Armstrong,', 'Landyn Banx,', 'Parker Cagle-Smith,', 'Katie Cover']",5.1
tt1212054,16 Stones,(2014),93 min,"
Adventure            ","['Director:', 'Brian Brough']","['Stars:', 'Shona Kay,', 'Aubrey Reynolds,', 'Mason D. Davis,', 'Brad Johnson']",5
tt0331338,16 Years of Alcohol,(2003),102 min,"
Crime, Drama            ","['Director:', 'Richard Jobson']","['Stars:', 'Kevin McKidd,', 'Laura Fraser,', 'Susan Lynch,', 'Stuart Sinclair Blyth']",6.2
tt1130087,16 to Life,(2009),89 min,"
Comedy, Romance            ","['Director:', 'Becky Smith']","['Stars:', 'Hallee Hirsh,', 'Theresa Russell,', 'Shiloh Fernandez,', 'Mandy Musgrave']",6.2
tt1663673,16-Love,(2012),88 min,"
Comedy, Drama, Family            ","['Director:', 'Adam Lipsius']","['Stars:', 'Lindsey Shaw,', 'Chandler Massey,', 'Keith Coulouris,', 'Lindsey Black']",5.5
tt4359764,16/03,(2017),120 min,"
Action, Drama, History            ","['Directors:', 'Danny Darren,', 'Paul J. Lane']","['Stars:', 'Danny Darren,', 'Crispian Belfrage,', 'Rachel Marquez,', 'Erick Hayden']",6.4
tt2093044,Knock Knock 2,(2011),82 min,"
Horror, Mystery, Thriller            ","['Director:', 'Chris Sheng']","['Stars:', 'Aiden Cardei,', 'Jordan Elizabeth,', 'Aleksandar Popovic,', 'Lovie Ray']",2.6
tt8346576,16th Anniversary,(2017),,"
Drama            ","['Director:', 'Morris Sesay']","['Stars:', 'Walter Anga,', 'Eucharia Anunobi Ekwu,', 'Nonso Chijioke,', 'Augustine Osadebe Chika']",
