title,genres
The Truman Show,"comedy, drama"
The Terminator,"action, sci-fi"
Out of the Past,"crime, drama, film-noir"
The Shining,"drama, horror"
A Clockwork Orange,"crime, sci-fi"
Spectre,"action, adventure, thriller"
Chef,"adventure, comedy, drama"
Killer Joe,"drama, thriller"
There Will Be Blood,drama
Airplane!,comedy
Zero Dark Thirty,"drama, history, thriller"
Dark Shadows,"comedy, fantasy, horror"
E.T. the Extra-Terrestrial,"adventure, family, sci-fi"
Fear Street: Part One - 1994,"drama, horror, mystery"
Grease,"comedy, musical, romance"
Toy Story,"animation, adventure, comedy"
The Time Traveler's Wife,"comedy, drama, fantasy"
10 Things I Hate About You,"comedy, drama, romance"
Batman Begins,"action, crime, drama"
A Beautiful Mind,"biography, drama"
The Longest Day,"action, drama, history"
Me Before You,"drama, romance"
Iron Man,"action, adventure, sci-fi"
Romeo + Juliet,"drama, romance"
Knocked Up,"comedy, romance"
The Twilight Saga: Breaking Dawn - Part 2,"adventure, drama, fantasy"
The Dreamers,"drama, romance"
The Great Outdoors,comedy
Zombieland,"action, comedy, horror"
Fantastic Four,"action, adventure, sci-fi"
The Hurt Locker,"drama, thriller, war"
Carriers,"action, adventure, drama"
Atonement,"drama, mystery, romance"
Good Will Hunting,"drama, romance"
Godzilla vs. Kong,"action, sci-fi, thriller"
The Usual Suspects,"crime, drama, mystery"
The Lion King,"animation, adventure, drama"
The Avengers,"action, adventure, sci-fi"
Spirited Away,"animation, adventure, family"
Black Mass,"biography, crime, drama"
Pitch Perfect,"comedy, music, romance"
Uncle Buck,comedy
Identity,"mystery, thriller"
Dune,"action, adventure, sci-fi"
The Sound of Music,"biography, drama, family"
Untraceable,"crime, mystery, thriller"
Moulin Rouge!,"drama, musical, romance"
Respect,"biography, drama, music"
The Magnificent Seven,"action, adventure, western"
Mean Girls,comedy
It Chapter Two,"drama, fantasy, horror"
The Tourist,"action, thriller"
Ocean's Eight,"action, comedy, crime"
The Devil Wears Prada,"comedy, drama"
Meet Joe Black,"drama, fantasy, romance"
Annihilation,"adventure, drama, horror"
Con Air,"action, crime, thriller"
Jaws,"adventure, thriller"
Star Trek,"action, adventure, sci-fi"
Ocean's Eleven,"crime, thriller"
Superbad,comedy
Collateral,"action, crime, drama"
The Sixth Sense,"drama, mystery, thriller"
Fear and Loathing in Las Vegas,"adventure, comedy, drama"
About Time,"comedy, drama, fantasy"
Fear Street: Part Two - 1978,"drama, horror, mystery"
Blue Velvet,"crime, drama, mystery"
The Old Guard,"action, adventure, fantasy"
Planet of the Apes,"action, adventure, sci-fi"
Little Women,"drama, romance"
The Curious Case of Benjamin Button,"drama, fantasy, romance"
Blue Is the Warmest Colour,"drama, romance"
Infinite,"action, sci-fi, thriller"
Eternal Sunshine of the Spotless Mind,"drama, romance, sci-fi"
Casino,"crime, drama"
Office Space,comedy
Platoon,"drama, war"
Hidden Figures,"biography, drama, history"
Cars,"animation, adventure, comedy"
Avengers: Age of Ultron,"action, adventure, sci-fi"
The Big Lebowski,"comedy, crime"
The Hangover,comedy
Tropic Thunder,"action, comedy, war"
Hamilton,"biography, drama, history"
Terminator 2: Judgment Day,"action, sci-fi"
Skyfall,"action, adventure, thriller"
The Night House,"horror, mystery, thriller"
Jungle Cruise,"action, adventure, comedy"
A Quiet Place Part II,"drama, horror, sci-fi"
What's Eating Gilbert Grape,drama
One Flew Over the Cuckoo's Nest,drama
The Revenant,"action, adventure, drama"
Wind River,"crime, drama, mystery"
Cop Land,"crime, drama, thriller"
Sicario,"action, crime, drama"
Police Academy,comedy
The Imitation Game,"biography, drama, thriller"
Sleepy Hollow,"fantasy, horror, mystery"
Trainspotting,drama
Captain America: The First Avenger,"action, adventure, sci-fi"
The Devil All the Time,"crime, drama, thriller"
Batman Forever,"action, adventure"
Endless Love,"drama, romance"
The Last Samurai,"action, drama"
The Hunt,"action, horror, thriller"
Love Actually,"comedy, drama, romance"
Catch Me If You Can,"biography, crime, drama"
Boogie Nights,drama
Twister,"action, adventure, thriller"
Moana,"animation, adventure, comedy"
Donnie Darko,"drama, mystery, sci-fi"
American Graffiti,"comedy, drama"
The Exorcist,horror
The Great Gatsby,"drama, romance"
Baby Driver,"action, crime, drama"
Harry Potter and the Chamber of Secrets,"adventure, family, fantasy"
Sabrina,"comedy, drama, romance"
Sunshine,"sci-fi, thriller"
Kids,drama
Dirty Dancing,"drama, music, romance"
The Parent Trap,"adventure, comedy, drama"
The King,"biography, drama, history"
Ratatouille,"animation, adventure, comedy"
The Notebook,"drama, romance"
Brave,"animation, adventure, comedy"
Memento,"mystery, thriller"
"The Good, the Bad and the Ugly","adventure, western"
The Equalizer,"action, crime, thriller"
The Evil Dead,horror
Zootopia,"animation, adventure, comedy"
The Meg,"action, horror, sci-fi"
The Tomorrow War,"action, adventure, drama"
The Help,drama
Last Looks,"crime, thriller"
Clueless,"comedy, romance"
Les Misérables,"drama, musical, romance"
Alice in Wonderland,"adventure, family, fantasy"
Bird Box,"horror, sci-fi"
The Fighter,"action, biography, drama"
A Time to Kill,"crime, drama, thriller"
Braveheart,"biography, drama, history"
6 Underground,"action, thriller"
The Father,"drama, mystery"
Kill Bill: Vol. 1,"action, crime, drama"
The Big Short,"biography, comedy, drama"
Captain America: Civil War,"action, adventure, sci-fi"
Power Rangers,"action, adventure, fantasy"
The Fast and the Furious,"action, adventure, crime"
Crazy Rich Asians,"comedy, drama, romance"
Wild Things,"crime, drama, mystery"
Cruella,"adventure, comedy, crime"
Pig,"drama, mystery, thriller"
Stillwater,"crime, drama, thriller"
Knight and Day,"action, adventure, comedy"
Overlord,"action, horror, sci-fi"
Grown Ups,comedy
